Animal,CellType,Region,ClusterID,B1_Pos,B1_Context,B1_Chair,B1_Drum,B1_Star,P1_Pos,P1_Context,P1_Chair,P1_Drum,P1_Star,B2_Pos,B2_Context,B2_Chair,B2_Drum,B2_Star,P2_Pos,P2_Context,P2_Chair,P2_Drum,P2_Star,B3_Pos,B3_Context,B3_Chair,B3_Drum,B3_Star,P3_Pos,P3_Context,P3_Chair,P3_Drum,P3_Star
VR34,Wide Interneuron,ppc,1087,-0.0619956804875878,3.36914242694817,2.33214385862635,2.66862577924731,6.8300526446798,0.874218019858699,3.86183033709192e-23,0.00184972630120137,0.00040338274468948,1.94702881757906e-30,1.55004016979985,0,-0.385228656962218,4.76600678814616,9.18489259566532,0.00124316894804283,NaN,0.670369468197847,3.27380372178458e-07,4.70561480308806e-32,-0.0619956804875878,3.36914242694817,2.33214385862635,2.66862577924731,6.8300526446798,0.874218019858699,3.86183033709192e-23,0.00184972630120137,0.00040338274468948,1.94702881757906e-30
VR32,Wide Interneuron,ppc,63,4.25215522179298,-2.67293466868546,14.0292375416916,7.55973545801956,6.78013454823826,2.98837800173208e-08,2.3084133287472e-05,9.26958298844718e-21,2.51781030669564e-07,6.78310284294217e-10,5.62977425292697,0,21.2950008761753,6.77431104205098,7.35321286232461,1.76629541497677e-07,NaN,2.84647661924684e-22,0.000855989092079001,1.58664571767543e-06,4.25215522179298,-2.67293466868546,14.0292375416916,7.55973545801956,6.78013454823826,2.98837800173208e-08,2.3084133287472e-05,9.26958298844718e-21,2.51781030669564e-07,6.78310284294217e-10
VR45,Wide Interneuron,ppc,335,-0.960310290257759,0.740130487184449,5.28776794635274,2.98915338392998,6.3346696474238,0.087203146109142,0.111367336263459,1.11525596530401e-06,0.00527545783567565,1.40798418721601e-14,1.03104612561052,0,3.91505104724226,3.05084570491172,5.88809770882706,0.219884475932758,NaN,0.0153976698736474,0.0570675955598907,1.52148350225249e-06,-0.960310290257759,0.740130487184449,5.28776794635274,2.98915338392998,6.3346696474238,0.087203146109142,0.111367336263459,1.11525596530401e-06,0.00527545783567565,1.40798418721601e-14
VR39,Wide Interneuron,vc,324,-0.218537811046094,1.31441449337394,8.22359764322103,3.59003784176574,6.13056469182259,0.606163445009397,0.000198993884858086,3.48242920803691e-22,1.04413016492867e-05,3.39877775550994e-22,-2.10685108809965,0,7.61370294909739,2.77010746916501,5.41326008705512,0.000379286175995943,NaN,7.23770859648312e-11,0.0135160278847132,4.44266794091427e-10,-0.218537811046094,1.31441449337394,8.22359764322103,3.59003784176574,6.13056469182259,0.606163445009397,0.000198993884858086,3.48242920803691e-22,1.04413016492867e-05,3.39877775550994e-22
VR37,Wide Interneuron,ppc,565,-0.608340090549408,1.35550173805958,-1.98802058758924,2.91500498152424,5.68398000454724,0.0913412767920373,6.6332777115683e-06,0.00404927304582817,2.45417684865158e-05,9.06077982934127e-26,0.455985780021107,0,-0.0575575032086039,5.6963771156328,8.53992513249773,0.405117811866748,NaN,0.956201083996197,1.04670190153848e-07,3.42204778562235e-23,-0.608340090549408,1.35550173805958,-1.98802058758924,2.91500498152424,5.68398000454724,0.0913412767920373,6.6332777115683e-06,0.00404927304582817,2.45417684865158e-05,9.06077982934127e-26
VR33,Wide Interneuron,vc,533,6.92922366570585,5.03223321804691,2.07426440489164,10.5633196953143,5.6752809651923,2.5425073196685e-24,1.86085501735941e-19,0.0948372328512053,1.15543789777041e-16,1.59454201965073e-09,3.75696827776369,0,-2.60300514750576,-2.49584645647846,-2.49340975313586,1.5393111756113e-07,NaN,0.0519878441863227,0.0609044883757956,0.0127104264802751,6.92922366570585,5.03223321804691,2.07426440489164,10.5633196953143,5.6752809651923,2.5425073196685e-24,1.86085501735941e-19,0.0948372328512053,1.15543789777041e-16,1.59454201965073e-09
VR44,Wide Interneuron,ppc,0,0.0239174992922198,0.693095850190638,8.32973047465616,5.83856023060974,5.65126663263107,0.959775870541651,0.0780244852837527,6.58822471407295e-19,2.80916578941152e-10,5.8422737263721e-16,-3.24835373176055,0,2.48438949770013,4.04047743304721,0.252270254615223,2.85097201101402e-10,NaN,0.00889822925643112,2.82493487083434e-05,0.721302079354112,0.0239174992922198,0.693095850190638,8.32973047465616,5.83856023060974,5.65126663263107,0.959775870541651,0.0780244852837527,6.58822471407295e-19,2.80916578941152e-10,5.8422737263721e-16
VR39,Wide Interneuron,ppc,1316,-0.172444443093466,-0.244515273606615,1.52983477100244,0.54620018412085,5.62345277795769,0.588711645957466,0.354675149323087,0.0124808890512365,0.368496378988454,5.24832323814188e-31,-1.02491391521021,0,1.1028912494288,0.775215858619262,6.32655673836476,0.0466381131950163,NaN,0.262246508527145,0.427823573760645,5.42884985951942e-16,-0.172444443093466,-0.244515273606615,1.52983477100244,0.54620018412085,5.62345277795769,0.588711645957466,0.354675149323087,0.0124808890512365,0.368496378988454,5.24832323814188e-31
VR29,Wide Interneuron,vc,609,1.72063287609849,-0.506229666226951,3.51645050148521,3.35870574914543,5.43797278537408,0.000244393682100445,0.190032657077701,9.15971803312746e-05,0.000170278778639954,2.13990510473279e-15,4.21114262116494,0,6.01324736745576,1.65689226735305,6.00757080806283,4.30856558227282e-08,NaN,3.52081187634182e-05,0.244485221900808,4.33977167525754e-08,1.72063287609849,-0.506229666226951,3.51645050148521,3.35870574914543,5.43797278537408,0.000244393682100445,0.190032657077701,9.15971803312746e-05,0.000170278778639954,2.13990510473279e-15
VR39,Wide Interneuron,ppc,172,2.94109795894609,-1.42674945973507,5.22327602007108,7.19278194587503,5.3960490719272,3.34429862701915e-15,2.54949463893706e-06,2.20152098462066e-13,2.82291320209555e-23,2.58132460628769e-23,5.12640860420548,0,5.6024264616796,8.95163095754026,6.80849259711347,1.09103711996871e-17,NaN,3.03091093144828e-07,2.08540801065163e-15,8.94599493950634e-16,2.94109795894609,-1.42674945973507,5.22327602007108,7.19278194587503,5.3960490719272,3.34429862701915e-15,2.54949463893706e-06,2.20152098462066e-13,2.82291320209555e-23,2.58132460628769e-23
