INDEX,POS,CNTX,OBJ1,OBJ2,STAR
333,2,2,0,0,0.625
334,2,2,0,0,0.647058824
335,2,2,0,0,0.669117647
336,2,2,0,0,0.691176471
337,2,2,0,0,0.713235294
338,2,2,0,0,0.735294118
339,2,2,0,0,0.757352941
340,2,2,0,0,0.779411765
341,2,2,0,0,0.801470588
342,2,2,0,0,0.823529412
343,2,2,0,0,0.845588235
344,2,2,0,0,0.867647059
345,2,2,0,0,0.889705882
346,2,2,0,0,0.911764706
347,2,2,0,0,0.933823529
348,2,2,0,0,0.955882353
349,2,2,0,0,0.977941176
350,2,2,0,0,1
351,0,2,0,0,0
352,0,2,0,0,0
353,0,2,0,0,0
354,0,2,0,0,0
355,0,2,0,0,0
356,0,2,0,0,0
357,0,2,0,0,0
358,0,2,0,0,0
359,0,2,0,0,0
360,0,2,0,0,0
361,0,2,0,0,0
362,0,2,0,0,0
363,0,2,0,0,0
364,0,2,0,0,0
365,0,2,0,0,0
366,0,2,0,0,0
367,0,2,0,0.25,0
368,0,2,0,0.272058824,0
369,0,2,0,0.294117647,0
370,0,2,0,0.316176471,0
371,0,2,0,0.338235294,0
372,0,2,0,0.360294118,0
373,0,2,0,0.382352941,0
374,0,2,0,0.404411765,0
375,1,2,0,0.426470588,0
376,1,2,0,0.448529412,0
377,1,2,0,0.470588235,0
378,1,2,0,0.492647059,0
379,1,2,0,0.514705882,0
380,1,2,0,0.536764706,0
381,1,2,0,0.558823529,0
382,1,2,0,0.580882353,0
383,1,2,0,0.602941176,0
384,1,2,0,0.625,0
385,1,2,0,0.647058824,0
386,1,2,0,0.669117647,0
387,1,2,0,0.691176471,0
388,1,2,0,0.713235294,0
389,1,2,0,0.735294118,0
390,1,2,0,0.757352941,0
391,1,2,0,0.779411765,0
392,1,2,0,0.801470588,0
393,1,2,0,0.823529412,0
394,1,2,0,0.845588235,0
395,1,2,0,0.867647059,0
396,1,2,0,0.889705882,0
397,1,2,0,0.911764706,0
398,1,2,0,0.933823529,0
399,1,2,0,0.955882353,0
400,1,2,0,0.977941176,0
