INDEX,POS1,POS2,CNTX,OBJ1,OBJ2,STAR
369,1,0,2,0,0,0.360294118
370,1,0,2,0,0,0.382352941
371,1,0,2,0,0,0.404411765
372,1,0,2,0,0,0.426470588
373,1,0,2,0,0,0.448529412
374,1,0,2,0,0,0.470588235
375,1,0,2,0,0,0.492647059
376,1,0,2,0,0,0.514705882
377,1,0,2,0,0,0.536764706
378,1,0,2,0,0,0.558823529
379,1,0,2,0,0,0.580882353
380,1,0,2,0,0,0.602941176
381,1,0,2,0,0,0.625
382,1,0,2,0,0,0.647058824
383,1,0,2,0,0,0.669117647
384,1,0,2,0,0,0.691176471
385,1,0,2,0,0,0.713235294
386,1,0,2,0,0,0.735294118
387,1,0,2,0,0,0.757352941
388,1,0,2,0,0,0.779411765
389,1,0,2,0,0,0.801470588
390,1,0,2,0,0,0.823529412
391,1,0,2,0,0,0.845588235
392,1,0,2,0,0,0.867647059
393,1,0,2,0,0,0.889705882
394,1,0,2,0,0,0.911764706
395,1,0,2,0,0,0.933823529
396,1,0,2,0,0,0.955882353
397,1,0,2,0,0,0.977941176
398,1,0,2,0,0,1
399,1,0,2,0,0,1
400,0,0,2,0,0,0
401,0,0,2,0,0,0
402,0,0,2,0,0,0
403,0,0,2,0,0,0
404,0,0,2,0,0,0
405,0,0,2,0,0,0
406,0,0,2,0,0,0
407,0,0,2,0,0,0
408,0,0,2,0,0,0
409,0,0,2,0,0,0
410,0,0,2,0,0,0
411,0,0,2,0,0,0
412,0,0,2,0,0,0
413,0,0,2,0,0,0
414,0,0,2,0,0,0
415,0,0,2,0,0,0
416,0,0,2,0,0,0
417,0,0,2,0,0,0
418,0,0,2,0,0,0
419,0,0,2,0,0,0
420,0,0,2,0,0,0
421,0,0,2,0,0,0
422,0,0,2,0,0,0
423,0,0,2,0,0,0
424,0,1,2,0,0,0
425,0,1,2,0,0,0
426,0,1,2,0,0,0
427,0,1,2,0,0,0
428,0,1,2,0,0,0
429,0,1,2,0,0,0
430,0,1,2,0,0,0
431,0,1,2,0,0,0.25
432,0,1,2,0,0,0.272058824
433,0,1,2,0,0,0.294117647
434,0,1,2,0,0,0.316176471
435,0,1,2,0,0,0.338235294
436,0,1,2,0,0,0.360294118
437,0,1,2,0,0,0.382352941
438,0,1,2,0,0,0.404411765
439,0,1,2,0,0,0.426470588
440,0,1,2,0,0,0.448529412
441,0,1,2,0,0,0.470588235
442,0,1,2,0,0,0.492647059
